Device Type: Keyboard
 path: /Keyboard1/anyKey , name: anyKey , variants:  , displayName: Any Key shortDisplayName: 
 path: /Keyboard1/escape , name: escape , variants:  , displayName: Escape shortDisplayName: 
 path: /Keyboard1/space , name: space , variants:  , displayName: Space shortDisplayName: 
 path: /Keyboard1/enter , name: enter , variants:  , displayName: Enter shortDisplayName: 
 path: /Keyboard1/tab , name: tab , variants:  , displayName: Tab shortDisplayName: 
 path: /Keyboard1/backquote , name: backquote , variants:  , displayName: ` shortDisplayName: 
 path: /Keyboard1/quote , name: quote , variants:  , displayName: ' shortDisplayName: 
 path: /Keyboard1/semicolon , name: semicolon , variants:  , displayName: ; shortDisplayName: 
 path: /Keyboard1/comma , name: comma , variants:  , displayName: , shortDisplayName: 
 path: /Keyboard1/period , name: period , variants:  , displayName: . shortDisplayName: 
 path: /Keyboard1/slash , name: slash , variants:  , displayName: / shortDisplayName: 
 path: /Keyboard1/backslash , name: backslash , variants:  , displayName: \ shortDisplayName: 
 path: /Keyboard1/leftBracket , name: leftBracket , variants:  , displayName: [ shortDisplayName: 
 path: /Keyboard1/rightBracket , name: rightBracket , variants:  , displayName: ] shortDisplayName: 
 path: /Keyboard1/minus , name: minus , variants:  , displayName: - shortDisplayName: 
 path: /Keyboard1/equals , name: equals , variants:  , displayName: = shortDisplayName: 
 path: /Keyboard1/upArrow , name: upArrow , variants:  , displayName: Up Arrow shortDisplayName: 
 path: /Keyboard1/downArrow , name: downArrow , variants:  , displayName: Down Arrow shortDisplayName: 
 path: /Keyboard1/leftArrow , name: leftArrow , variants:  , displayName: Left Arrow shortDisplayName: 
 path: /Keyboard1/rightArrow , name: rightArrow , variants:  , displayName: Right Arrow shortDisplayName: 
 path: /Keyboard1/a , name: a , variants:  , displayName: A shortDisplayName: 
 path: /Keyboard1/b , name: b , variants:  , displayName: B shortDisplayName: 
 path: /Keyboard1/c , name: c , variants:  , displayName: C shortDisplayName: 
 path: /Keyboard1/d , name: d , variants:  , displayName: D shortDisplayName: 
 path: /Keyboard1/e , name: e , variants:  , displayName: E shortDisplayName: 
 path: /Keyboard1/f , name: f , variants:  , displayName: F shortDisplayName: 
 path: /Keyboard1/g , name: g , variants:  , displayName: G shortDisplayName: 
 path: /Keyboard1/h , name: h , variants:  , displayName: H shortDisplayName: 
 path: /Keyboard1/i , name: i , variants:  , displayName: I shortDisplayName: 
 path: /Keyboard1/j , name: j , variants:  , displayName: J shortDisplayName: 
 path: /Keyboard1/k , name: k , variants:  , displayName: K shortDisplayName: 
 path: /Keyboard1/l , name: l , variants:  , displayName: L shortDisplayName: 
 path: /Keyboard1/m , name: m , variants:  , displayName: M shortDisplayName: 
 path: /Keyboard1/n , name: n , variants:  , displayName: N shortDisplayName: 
 path: /Keyboard1/o , name: o , variants:  , displayName: O shortDisplayName: 
 path: /Keyboard1/p , name: p , variants:  , displayName: P shortDisplayName: 
 path: /Keyboard1/q , name: q , variants:  , displayName: Q shortDisplayName: 
 path: /Keyboard1/r , name: r , variants:  , displayName: R shortDisplayName: 
 path: /Keyboard1/s , name: s , variants:  , displayName: S shortDisplayName: 
 path: /Keyboard1/t , name: t , variants:  , displayName: T shortDisplayName: 
 path: /Keyboard1/u , name: u , variants:  , displayName: U shortDisplayName: 
 path: /Keyboard1/v , name: v , variants:  , displayName: V shortDisplayName: 
 path: /Keyboard1/w , name: w , variants:  , displayName: W shortDisplayName: 
 path: /Keyboard1/x , name: x , variants:  , displayName: X shortDisplayName: 
 path: /Keyboard1/y , name: y , variants:  , displayName: Y shortDisplayName: 
 path: /Keyboard1/z , name: z , variants:  , displayName: Z shortDisplayName: 
 path: /Keyboard1/1 , name: 1 , variants:  , displayName: 1 shortDisplayName: 
 path: /Keyboard1/2 , name: 2 , variants:  , displayName: 2 shortDisplayName: 
 path: /Keyboard1/3 , name: 3 , variants:  , displayName: 3 shortDisplayName: 
 path: /Keyboard1/4 , name: 4 , variants:  , displayName: 4 shortDisplayName: 
 path: /Keyboard1/5 , name: 5 , variants:  , displayName: 5 shortDisplayName: 
 path: /Keyboard1/6 , name: 6 , variants:  , displayName: 6 shortDisplayName: 
 path: /Keyboard1/7 , name: 7 , variants:  , displayName: 7 shortDisplayName: 
 path: /Keyboard1/8 , name: 8 , variants:  , displayName: 8 shortDisplayName: 
 path: /Keyboard1/9 , name: 9 , variants:  , displayName: 9 shortDisplayName: 
 path: /Keyboard1/0 , name: 0 , variants:  , displayName: 0 shortDisplayName: 
 path: /Keyboard1/leftShift , name: leftShift , variants:  , displayName: Left Shift shortDisplayName: 
 path: /Keyboard1/rightShift , name: rightShift , variants:  , displayName: Right Shift shortDisplayName: 
 path: /Keyboard1/shift , name: shift , variants:  , displayName: Shift shortDisplayName: 
 path: /Keyboard1/leftAlt , name: leftAlt , variants:  , displayName: Left Alt shortDisplayName: 
 path: /Keyboard1/rightAlt , name: rightAlt , variants:  , displayName: Right Alt shortDisplayName: 
 path: /Keyboard1/alt , name: alt , variants:  , displayName: Alt shortDisplayName: 
 path: /Keyboard1/leftCtrl , name: leftCtrl , variants:  , displayName: Left Control shortDisplayName: 
 path: /Keyboard1/rightCtrl , name: rightCtrl , variants:  , displayName: Right Control shortDisplayName: 
 path: /Keyboard1/ctrl , name: ctrl , variants:  , displayName: Control shortDisplayName: 
 path: /Keyboard1/leftMeta , name: leftMeta , variants:  , displayName: Left System shortDisplayName: 
 path: /Keyboard1/rightMeta , name: rightMeta , variants:  , displayName: Right System shortDisplayName: 
 path: /Keyboard1/contextMenu , name: contextMenu , variants:  , displayName: Context Menu shortDisplayName: 
 path: /Keyboard1/backspace , name: backspace , variants:  , displayName: Backspace shortDisplayName: 
